z,LO2,LO3,LnHbeta,LbHbeta,LnHalpha,LbHalpha,LNII,LSII,LFeII,L5100,fwhm_bHbeta,fwhm_OIII
0.3119772,40.7043633564,41.059912312,40.3472092717,41.4696158181,40.1365103277,42.085719888,39.4267075412,39.8217436967,41.9629766947,44.1028351068,6474.18149588,484.649489273
0.3122024,41.0861997415,41.9448269198,40.908789985,42.2229156766,41.3467288017,42.5847477161,41.1133202243,40.6648041062,42.2817063496,44.3059991644,11406.7636076,380.680990639
0.3123342,41.0452864084,41.6099487366,40.5893053827,42.0135382208,41.1452329545,42.3796841529,40.8783421698,40.632137479,41.544799288,44.1058798706,4118.07573206,312.452569774
0.3123427,40.993284828,41.5192289705,41.1749976079,41.9193608949,41.4917141617,42.0924420265,41.3469120159,41.1821902656,42.1759721043,44.1776575993,8562.45542116,629.762437989
0.3129062,41.3313824487,41.9074444694,41.0556451033,42.1754631401,41.5219547284,42.7070172678,41.2917938926,41.2735786927,42.1392086787,44.248519007,3457.39911171,422.740339815
0.3129209,40.9196983726,41.463695102,40.5922978628,42.214131674,41.3431547991,42.5667915261,40.9574196124,41.2279897144,41.8346500145,44.2275754478,5734.77281773,681.522503001
0.3129799,41.1603573999,41.4222297446,40.7926646224,41.9277647948,41.3180058093,42.5309457977,40.9844326067,40.8616149471,42.2036807298,44.310036148,5203.54356313,416.427017293
0.3130554,40.918810292,41.6507947171,40.7389000025,42.3161436446,41.0680029252,42.6773678763,40.9519860949,41.1606476877,40.7546559924,44.2760762962,9226.77202463,821.756346118
0.3132798,41.6521640708,42.2081929989,41.1759577524,42.30379811,41.5601059005,42.6417196309,41.1606672254,41.2799333397,42.1986710306,44.2142795281,3914.96434264,484.178049435
0.3133543,40.8307277225,41.7925703648,40.911663337,41.952326026,41.228927372,42.2644689696,40.2265474957,40.5363828097,41.7752560905,43.7454008323,10949.476109,389.760155733
0.3139022,41.3981624468,42.2591856609,41.1703273023,42.7845019662,41.67908737,43.0649907921,41.230032419,41.0173161056,42.1297508902,44.3366073494,9907.00206757,425.007668965
0.3139479,41.3259761735,41.764548571,41.0224573557,41.7433525908,41.4350664645,42.2426163815,41.2936283989,41.1336916229,40.9028737132,44.1687717246,4406.5530711,453.597366415
0.3139724,41.8534315818,42.3143535282,41.4579457574,42.3071096786,41.8273386555,42.882769355,41.6500771703,41.5931470249,42.2501483506,44.2870405089,7392.22526723,625.348500679
0.3140194,41.3603253088,41.4565787703,40.8151119522,41.9315486522,41.2241235994,42.4259542858,40.877787383,40.7566686517,41.6676398503,44.1617530354,3300.38077616,247.70855946
0.3141587,41.3791467168,42.2442856494,41.4583214235,42.9075274349,41.7460413611,43.2517890656,41.5254105922,41.1364060309,41.8491328574,44.5674793348,8544.30873081,426.139293134
0.3144855,41.05075521,41.4124644867,40.7386617704,41.4058793238,41.2655552313,42.0023804608,41.0514591086,40.661478873,40.8890639224,44.1290644792,3273.38401282,397.831393159
0.3148944,41.4354169634,42.2086786329,41.4337541483,42.8083404374,41.7842765942,43.2930632824,41.5011756217,41.2658574534,40.8030705299,44.4842104496,6864.4180539,575.101074591
0.3151957,40.8826494999,41.3769520998,40.5883833705,41.8908136462,41.1292707493,42.3445989603,40.7986240286,40.6347157997,41.9239172254,44.1219616468,2693.52418233,408.467711618
0.3152307,41.3801667776,42.2103104973,41.0809958451,42.1841789593,41.4339537932,42.6509509498,40.6974444773,40.8982950988,40.6788497484,44.0273232012,4633.00566709,259.086074544
0.3152437,41.0131599519,41.4798376742,40.3793135953,41.69799427,41.1642246884,42.2238533624,40.9302097596,40.5023910019,42.2632869368,44.1761200834,1994.50897556,320.34992005
0.3156482,41.2202131828,41.9788290565,41.1134087584,42.3985658158,41.4129324651,42.8067044446,41.0753789187,41.0900080229,41.5746248425,44.3027437792,5024.02384396,438.031119146
0.3158145,41.5272089073,42.3971815079,41.2622399492,42.3301970865,41.5910198237,42.7112609848,41.1631694652,41.1515686218,42.5498202362,44.2842080194,3514.00881713,555.390077082
0.3159311,40.7867184117,41.1153294532,40.2089430684,41.4878692094,40.8379465241,42.0311045608,40.6652690451,40.5410303552,41.7217623312,43.7649159138,3986.68083835,378.870926637
0.3160133,41.5355050661,41.9105438038,41.3690220026,42.3688615725,41.9741777198,42.7953400355,41.7605348584,41.4548682654,41.8477417253,44.5453588435,4182.56580133,658.274623997
0.3163114,41.2879030171,41.7301952372,40.9746843643,41.98994451,41.4203922997,42.543507007,41.3075165273,41.0677233951,42.1683339009,44.2769759464,3397.44425168,409.701740535
0.3164002,41.0988145771,41.7241753016,41.0582711781,42.2428450647,41.390523504,42.5441630922,40.9804161675,41.0284643624,41.7309677176,43.9836423136,13204.2713018,596.901092182
0.3164278,41.0442404774,41.9168674953,40.8660658449,42.7002314407,41.4742372627,43.0303226463,41.2891059068,41.2578095384,42.1133581334,44.436203646,7540.07842064,566.721813206
0.3168361,40.8674309001,41.0991848747,40.7500154091,40.6423141051,41.2268937389,41.326717153,41.044594562,40.6723068116,40.6826885379,43.8016611791,1611.16760741,439.7521441
0.3170813,40.7470061964,41.3266200334,40.6022336822,41.9881474944,40.7289222718,42.3960606266,40.6544723817,40.3395887368,42.2178971476,44.0242969993,3379.60521186,379.403442356
0.3171868,40.9243288094,41.1939374675,40.7550881892,41.6048630226,41.0886972716,41.8348642323,40.8028822316,40.739225926,40.7195536379,44.206481762,5944.40507259,600.666289152
0.3172193,41.1344883952,41.5551983738,40.9119777016,42.326363476,41.6974903497,42.7467468573,41.5161404213,40.9828361136,42.8356988074,44.6036352852,3083.4386984,810.407896941
0.3172246,41.7027675792,42.3501049938,41.3996927412,42.003934081,41.6546902638,42.4384416206,41.0443328368,40.8485558268,40.1373909328,43.9823225211,2301.10102535,318.03546014
0.3172853,40.915588881,41.4762769649,40.3372322238,42.1085585841,40.996279534,42.4207416572,40.4569507855,40.8238495866,42.3577849351,44.0053897556,4504.16091426,292.58221214
0.3175747,41.1969678787,41.9116328922,41.064124704,42.1679908391,41.4364350755,42.4754648756,40.2451699334,40.915352994,41.5034981531,44.2110486374,8347.27390275,485.250877837
0.3177272,41.2914308114,41.9627346293,40.9202372403,42.6148073947,41.4002360132,43.0467587462,40.9951910075,41.0189182907,41.4845234761,44.4176765619,4165.07499082,382.669877142
0.3179179,41.4029547214,41.8326282994,41.1550546969,41.8569469261,41.6140552909,42.2747102031,41.3488392421,41.2454919497,40.9646338355,44.1131201118,2520.3829473,502.606304863
0.3183397,41.3192797256,41.4656224377,40.7378607142,41.8391059789,41.0861163133,42.3704654065,40.8741185965,40.9679220005,42.2547682671,44.2228802053,5178.95093868,505.89303832
